signing_frequency,timestamp_pattern_deviation,key_age_days,failed_attempt_count,transaction_frequency,device_fingerprint_change,session_reuse_count,historical_behavior_delta,signature_verification_failures,replay_indicator_score,transaction_value_zscore,ip_geo_anomaly,hour_of_day_anomaly,key_usage_burst_rate,signature_entropy_score,session_duration_anomaly,cross_key_correlation,endpoint_sensitivity_weight,label
0.15973483220283327,0.05190312847317008,0.3284388094702768,0.12540484595841767,0.27024011994456404,0.38610604361990175,0.1693579685720636,0.21782755683707292,0.09359600681007813,0.20339714692585628,0.5588828350328047,0.34335197969325304,0.21823234973276742,0.1765974356581942,0.244883992521228,0.2656060902632367,0.19971163514250906,0.3136071034925355,0
0.1959473634608976,0.2651537364685083,0.17071876674738345,0.26719614023772353,0.03710839632588356,0.33219454679860094,0.28881689001908056,0.24309344050408974,0.20315628104804023,0.14262952151582806,0.33732554944393134,0.10946920171559121,0.3114275094459092,0.4989341673771349,0.42826257863731576,0.06938464687952162,0.18559143275880366,0.3005740888666405,0
0.22955084113180213,0.2515884007362004,0.3382880032336196,0.08700839261694526,0.14908610335954503,0.28275469058360664,0.23801985034054596,0.3186231019164052,0.10245911231684826,0.2928554411525585,0.38099003432529666,0.308418225657914,0.266693408771391,0.2384939676920835,0.14981786166741978,0.2413601689072254,0.4011647023456487,0.23571657920798497,0
0.06733608697702859,0.3733097284664586,0.127802136116649,0.2622966840523788,0.22088571431196707,0.13503860791585248,0.132027768681007,0.2831697237104505,0.36946471937952186,0.2344316556173796,0.25841357904798595,0.31854088795492563,0.13340574723844484,0.33876310100955076,0.34832117164716964,0.5624351558500491,0.20486749713285013,0.19503018379982467,0
0.3668542584925176,0.2468336966420048,0.18451598536610586,0.3655868007596407,0.11971786855627009,0.3543032003876655,0.012118454341689316,0.2842845336077436,0.2552612747456193,0.18523650797610874,0.29675498414668133,0.24045158447586545,0.3765634752766656,0.3172181186564122,0.3043233079449223,0.28502334442722455,0.19334002521435495,0.21378357400291634,0
0.8022751842542867,0.5064603268390536,0.7935909512293414,0.8543792209210876,0.6311357928804954,0.7201643607101552,0.347661618088374,0.5585338699847076,0.7686936390956649,0.9383252768127663,0.6121299976603272,1.0,0.77650013523627,0.7965299181939504,0.9516928880239264,0.49447023642346644,0.7791168645716164,0.5527366087149211,1
0.2789174679450108,0.19306363244837577,0.128675200742205,0.28533842569679224,0.23591550630905941,0.23988193071829905,0.2815035420577717,0.3123266897493676,0.2823682268963764,0.22953782761063585,0.15383418351478817,0.17646582773487574,0.3517911790150515,0.19916965139239354,0.08847486490750464,0.3891489617814679,0.1369145809323017,0.2542296524568427,0
0.15407962428100314,0.2911176639033764,0.38895628630786594,0.2279064481459403,0.09745010081051161,0.12007518132558212,0.29735193056446485,0.4712939696073123,0.2972469999177277,0.2035724139218497,0.3419420760220341,0.22126016372959045,0.20460577391629522,0.13498490731656837,0.4190138613095627,0.0,0.3457431040335123,0.19435060746429558,0
0.38942878756559035,0.1176687187279172,0.46656426355071323,0.08930140303125095,0.2085562466554316,0.13597720037487857,0.5125512396243252,0.18959799653834178,0.18989906121657607,0.2055101512072097,0.261472336947274,0.2105869865314587,0.23405358344531207,0.0,0.25685918032021926,0.2521367945783974,0.3746282556894872,0.40708731379352825,0
0.17844895395703392,0.444491760253003,0.11801666634161029,0.33236707110898533,0.312907394287654,0.06051840429157074,0.15030636040076875,0.1704771326860159,0.31775009359799095,0.20595578728833389,0.23972922320670337,0.0750823171618327,0.5291094060058377,0.25854347424873964,0.30988010767563323,0.1851249413721733,0.17168472075185787,0.47952215859442376,0
